timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:40 UTC 202, 6, 11 %, 94 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:42 UTC 202, 0, 13 %, 99 W, 512 MiB
Tue Aug  2 20:17:42 UTC 202, 3, 14 %, 103 W, 512 MiB
Tue Aug  2 20:17:42 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Aug  2 20:17:42 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:17:42 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:17:42 UTC 202, 5, 30 %, 102 W, 512 MiB
Tue Aug  2 20:17:42 UTC 202, 4, 15 %, 104 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:45 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:17:45 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:17:45 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:17:45 UTC 202, 3, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:17:45 UTC 202, 1, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:17:45 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:17:45 UTC 202, 5, 14 %, 101 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:47 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:17:47 UTC 202, 3, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:17:47 UTC 202, 4, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:17:47 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:17:47 UTC 202, 6, 11 %, 93 W, 32454 MiB
Tue Aug  2 20:17:47 UTC 202, 5, 14 %, 102 W, 32454 MiB
Tue Aug  2 20:17:47 UTC 202, 1, 15 %, 103 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:49 UTC 202, 5, 14 %, 102 W, 32454 MiB
Tue Aug  2 20:17:49 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:17:49 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:17:49 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:17:49 UTC 202, 3, 26 %, 168 W, 32454 MiB
Tue Aug  2 20:17:49 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:17:49 UTC 202, 1, 15 %, 103 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:53 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:17:53 UTC 202, 0, 13 %, 99 W, 512 MiB
Tue Aug  2 20:17:53 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Aug  2 20:17:53 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:17:53 UTC 202, 3, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:53 UTC 202, 5, 14 %, 102 W, 512 MiB
Tue Aug  2 20:17:53 UTC 202, 6, 11 %, 94 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:55 UTC 202, 5, 14 %, 101 W, 32454 MiB
Tue Aug  2 20:17:55 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:17:55 UTC 202, 3, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:17:55 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:17:55 UTC 202, 1, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:17:55 UTC 202, 0, 13 %, 100 W, 32454 MiB
Tue Aug  2 20:17:55 UTC 202, 7, 50 %, 211 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:17:58 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:17:58 UTC 202, 4, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:58 UTC 202, 0, 13 %, 100 W, 512 MiB
Tue Aug  2 20:17:58 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:17:58 UTC 202, 5, 14 %, 102 W, 512 MiB
Tue Aug  2 20:17:58 UTC 202, 3, 15 %, 103 W, 512 MiB
Tue Aug  2 20:17:58 UTC 202, 1, 14 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:00 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:18:00 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:18:00 UTC 202, 5, 14 %, 149 W, 512 MiB
Tue Aug  2 20:18:00 UTC 202, 1, 15 %, 103 W, 512 MiB
Tue Aug  2 20:18:00 UTC 202, 3, 15 %, 114 W, 512 MiB
Tue Aug  2 20:18:00 UTC 202, 0, 13 %, 99 W, 512 MiB
Tue Aug  2 20:18:00 UTC 202, 4, 15 %, 104 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:03 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:18:03 UTC 202, 0, 13 %, 100 W, 512 MiB
Tue Aug  2 20:18:03 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:18:03 UTC 202, 1, 15 %, 103 W, 512 MiB
Tue Aug  2 20:18:03 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:18:03 UTC 202, 3, 15 %, 103 W, 512 MiB
Tue Aug  2 20:18:03 UTC 202, 4, 15 %, 104 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:05 UTC 202, 5, 14 %, 101 W, 32454 MiB
Tue Aug  2 20:18:05 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:18:05 UTC 202, 3, 56 %, 217 W, 32454 MiB
Tue Aug  2 20:18:05 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:18:05 UTC 202, 0, 13 %, 100 W, 32454 MiB
Tue Aug  2 20:18:05 UTC 202, 1, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:05 UTC 202, 4, 15 %, 104 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:08 UTC 202, 3, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:08 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:18:08 UTC 202, 5, 14 %, 102 W, 32454 MiB
Tue Aug  2 20:18:08 UTC 202, 4, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:18:08 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:18:08 UTC 202, 1, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:08 UTC 202, 7, 10 %, 91 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:10 UTC 202, 4, 15 %, 103 W, 512 MiB
Tue Aug  2 20:18:10 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:18:10 UTC 202, 0, 13 %, 99 W, 512 MiB
Tue Aug  2 20:18:10 UTC 202, 3, 14 %, 122 W, 512 MiB
Tue Aug  2 20:18:10 UTC 202, 1, 14 %, 102 W, 512 MiB
Tue Aug  2 20:18:10 UTC 202, 6, 11 %, 93 W, 512 MiB
Tue Aug  2 20:18:10 UTC 202, 5, 14 %, 102 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:12 UTC 202, 0, 13 %, 100 W, 512 MiB
Tue Aug  2 20:18:12 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:18:12 UTC 202, 3, 44 %, 156 W, 512 MiB
Tue Aug  2 20:18:12 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:18:12 UTC 202, 5, 14 %, 102 W, 512 MiB
Tue Aug  2 20:18:12 UTC 202, 6, 11 %, 94 W, 512 MiB
